trade_id,date,symbol,client_id,algo_type,side,order_qty,filled_qty,fill_rate,order_price,exec_price,vwap,slippage_bps,pnl,is_anomaly,anomaly_reason
TRD-00001,2023-01-03,AAPL,CLIENT_004,VWAP,SELL,16549,14996,90.62,128.2238,127.6136,124.7134,47.59,43491.25,True,HIGH SLIPPAGE
TRD-00002,2023-01-04,AAPL,CLIENT_008,TWAP,BUY,44848,43045,95.98,124.8873,125.2661,124.7003,30.33,-24354.67,True,LARGE ORDER
TRD-00003,2023-01-05,AAPL,CLIENT_018,VWAP,SELL,2582,2255,87.34,125.1235,125.0153,123.8637,8.64,2596.82,False,
TRD-00004,2023-01-06,AAPL,CLIENT_001,VWAP,BUY,15747,13522,85.87,124.0212,124.56,126.2422,43.44,22747.12,True,HIGH SLIPPAGE
TRD-00005,2023-01-09,AAPL,CLIENT_017,VWAP,BUY,47425,44587,94.02,128.4108,128.8692,129.0801,35.7,9402.41,True,LARGE ORDER
TRD-00006,2023-01-10,AAPL,CLIENT_018,POV,BUY,29939,18179,60.72,128.2041,128.8262,127.9843,48.53,-15304.97,True,HIGH SLIPPAGE
TRD-00007,2023-01-11,AAPL,CLIENT_019,IS,BUY,10963,9771,89.14,129.1785,129.3258,130.3956,11.4,10453.48,False,
TRD-00008,2023-01-12,AAPL,CLIENT_014,IS,SELL,10689,7093,66.36,131.767,131.6354,130.937,9.99,4954.08,False,
TRD-00009,2023-01-13,AAPL,CLIENT_007,IS,BUY,6578,4647,70.65,129.9462,130.2933,131.6685,26.71,6390.76,False,
TRD-00010,2023-01-17,AAPL,CLIENT_013,VWAP,SELL,23041,21077,91.48,132.702,132.4994,133.6435,15.27,-24114.9,False,
TRD-00011,2023-01-18,AAPL,CLIENT_020,IS,BUY,48323,39342,81.41,134.6605,134.766,134.1323,7.84,-24929.2,True,LARGE ORDER
TRD-00012,2023-01-19,AAPL,CLIENT_015,VWAP,SELL,5664,5062,89.38,131.9638,131.7137,132.9645,18.95,-6331.41,False,
TRD-00013,2023-01-20,AAPL,CLIENT_018,IS,SELL,38337,29121,75.96,133.1449,132.6193,134.5458,39.47,-56100.65,False,
TRD-00014,2023-01-23,AAPL,CLIENT_007,VWAP,BUY,43836,38573,88.0,135.9401,136.2962,138.5548,26.2,87121.02,True,LARGE ORDER
TRD-00015,2023-01-24,AAPL,CLIENT_008,IS,BUY,15756,12720,80.73,138.0955,138.1407,139.7555,3.28,20540.43,False,
TRD-00016,2023-01-25,AAPL,CLIENT_004,POV,SELL,30214,24553,81.26,138.6663,138.5366,138.8074,9.36,-6648.82,False,
TRD-00017,2023-01-26,AAPL,CLIENT_012,TWAP,SELL,23783,20447,85.98,140.9103,140.241,141.1072,47.5,-17710.31,True,HIGH SLIPPAGE
TRD-00018,2023-01-27,AAPL,CLIENT_007,IS,BUY,40420,37912,93.8,140.9005,141.4727,143.1183,40.61,62387.12,True,HIGH SLIPPAGE + LARGE ORDER
TRD-00019,2023-01-30,AAPL,CLIENT_006,TWAP,BUY,30794,27581,89.57,142.6721,142.7546,141.5304,5.79,-33764.15,False,
TRD-00020,2023-01-31,AAPL,CLIENT_013,IS,BUY,45366,38083,83.95,140.4478,140.7648,141.3696,22.57,23034.34,True,LARGE ORDER
TRD-00021,2023-02-01,AAPL,CLIENT_011,VWAP,BUY,2603,2260,86.83,141.6977,142.0557,142.1734,25.26,266.1,False,
TRD-00022,2023-02-02,AAPL,CLIENT_011,POV,SELL,4837,2960,61.2,146.5499,145.8823,147.6883,45.56,-5345.84,True,HIGH SLIPPAGE
TRD-00023,2023-02-03,AAPL,CLIENT_007,IS,BUY,43454,30008,69.06,145.6936,146.1811,150.8181,33.46,139148.04,True,LARGE ORDER
TRD-00024,2023-02-06,AAPL,CLIENT_016,POV,SELL,9863,6993,70.91,150.162,149.7643,149.473,26.48,2036.74,False,
TRD-00025,2023-02-07,AAPL,CLIENT_009,TWAP,BUY,49323,45969,93.2,148.2624,148.4115,151.0839,10.06,122846.02,True,LARGE ORDER
TRD-00026,2023-02-08,AAPL,CLIENT_018,IS,SELL,38742,36392,93.94,151.4513,150.8609,150.1489,38.98,25912.32,False,
TRD-00027,2023-02-09,AAPL,CLIENT_013,IS,BUY,9565,8884,92.88,151.3529,152.0317,149.4764,44.85,-22701.62,True,HIGH SLIPPAGE
TRD-00028,2023-02-10,AAPL,CLIENT_017,POV,BUY,3587,2902,80.93,147.3257,148.0059,148.3738,46.17,1067.69,True,HIGH SLIPPAGE
TRD-00029,2023-02-13,AAPL,CLIENT_004,TWAP,BUY,45096,38930,86.33,148.7944,148.9522,150.825,10.6,72908.26,True,LARGE ORDER
TRD-00030,2023-02-14,AAPL,CLIENT_014,VWAP,SELL,25509,21855,85.68,149.9477,149.6937,150.4307,16.94,-16106.74,False,
TRD-00031,2023-02-15,AAPL,CLIENT_020,POV,SELL,36756,27053,73.6,150.9236,150.7078,152.3627,14.3,-44771.25,False,
TRD-00032,2023-02-16,AAPL,CLIENT_001,VWAP,SELL,42506,41414,97.43,151.3178,151.0382,152.2575,18.48,-50497.85,True,LARGE ORDER
TRD-00033,2023-02-17,AAPL,CLIENT_011,VWAP,SELL,28992,25864,89.21,150.1744,149.76,149.9608,27.59,-5193.61,False,
TRD-00034,2023-02-21,AAPL,CLIENT_006,POV,BUY,47823,31052,64.93,148.0551,148.6519,147.2632,40.31,-43120.47,True,HIGH SLIPPAGE + LARGE ORDER
TRD-00035,2023-02-22,AAPL,CLIENT_009,TWAP,BUY,41479,35720,86.12,146.7441,147.4684,146.5502,49.36,-32796.88,True,HIGH SLIPPAGE + LARGE ORDER
TRD-00036,2023-02-23,AAPL,CLIENT_010,TWAP,BUY,25004,24149,96.58,147.9467,148.1056,146.8657,10.74,-29943.06,False,
TRD-00037,2023-02-24,AAPL,CLIENT_006,VWAP,SELL,32521,27669,85.08,145.0092,144.4153,144.4474,40.96,-887.31,True,HIGH SLIPPAGE
TRD-00038,2023-02-27,AAPL,CLIENT_001,VWAP,SELL,20653,19744,95.6,145.6007,145.066,146.0639,36.72,-19703.52,False,
TRD-00039,2023-02-28,AAPL,CLIENT_008,VWAP,BUY,37682,36389,96.57,144.9501,145.0172,145.6631,4.63,23503.31,False,
TRD-00040,2023-03-01,AAPL,CLIENT_003,VWAP,SELL,5035,4550,90.38,144.7332,144.6366,143.7672,6.68,3955.65,False,
TRD-00041,2023-03-02,AAPL,CLIENT_018,TWAP,BUY,43737,42838,97.95,142.3182,142.7671,143.4288,31.54,28344.36,True,LARGE ORDER
TRD-00042,2023-03-03,AAPL,CLIENT_016,TWAP,SELL,35081,31560,89.96,145.926,145.866,147.6838,4.11,-57370.62,False,
TRD-00043,2023-03-06,AAPL,CLIENT_020,POV,BUY,35843,25407,70.88,151.5938,151.8505,152.3233,16.93,12011.82,False,
TRD-00044,2023-03-07,AAPL,CLIENT_007,IS,SELL,44519,38079,85.54,151.5051,151.0166,150.0791,32.24,35698.29,True,LARGE ORDER
TRD-00045,2023-03-08,AAPL,CLIENT_012,POV,SELL,8430,7675,91.05,150.6278,150.2642,150.5424,24.14,-2135.29,False,
TRD-00046,2023-03-09,AAPL,CLIENT_008,TWAP,BUY,22656,19664,86.79,151.3671,151.9112,149.6191,35.95,-45071.73,False,
TRD-00047,2023-03-10,AAPL,CLIENT_001,TWAP,BUY,971,936,96.41,148.065,148.487,146.8887,28.5,-1496.04,False,
TRD-00048,2023-03-13,AAPL,CLIENT_003,VWAP,BUY,4917,4748,96.56,145.6993,146.0664,148.2884,25.2,10550.12,False,
TRD-00049,2023-03-14,AAPL,CLIENT_002,IS,BUY,34195,26773,78.3,149.1197,149.447,149.859,21.95,11029.93,False,
TRD-00050,2023-03-15,AAPL,CLIENT_008,IS,SELL,14540,8853,60.89,149.031,148.9373,149.882,6.29,-8363.18,False,
TRD-00051,2023-03-16,AAPL,CLIENT_018,TWAP,SELL,16425,14038,85.47,149.9871,149.5044,152.4416,32.18,-41231.99,False,
TRD-00052,2023-03-17,AAPL,CLIENT_016,POV,BUY,6681,4743,71.0,153.8512,154.25,153.1217,25.92,-5351.43,False,
TRD-00053,2023-03-20,AAPL,CLIENT_004,POV,SELL,28259,25931,91.76,152.8556,152.6536,154.2224,13.22,-40681.59,False,
TRD-00054,2023-03-21,AAPL,CLIENT_014,POV,BUY,44629,33187,74.36,155.0734,155.663,156.1446,38.02,15981.26,True,LARGE ORDER
TRD-00055,2023-03-22,AAPL,CLIENT_004,VWAP,SELL,48224,42645,88.43,157.0252,156.9503,156.9857,4.77,-1511.73,True,LARGE ORDER
TRD-00056,2023-03-23,AAPL,CLIENT_011,VWAP,BUY,13056,11665,89.35,156.5619,156.7012,157.1106,8.9,4775.59,False,
TRD-00057,2023-03-24,AAPL,CLIENT_007,POV,BUY,28148,26047,92.54,156.5914,157.2271,157.2026,40.6,-638.8,True,HIGH SLIPPAGE
TRD-00058,2023-03-27,AAPL,CLIENT_006,IS,SELL,16871,13862,82.17,157.656,156.967,156.7031,43.7,3657.74,True,HIGH SLIPPAGE
TRD-00059,2023-03-28,AAPL,CLIENT_003,POV,BUY,3815,3362,88.13,155.7142,155.8721,155.126,10.14,-2508.28,False,
TRD-00060,2023-03-29,AAPL,CLIENT_018,VWAP,BUY,49885,49081,98.39,157.0942,157.5251,158.0996,27.43,28197.47,True,LARGE ORDER
TRD-00061,2023-03-30,AAPL,CLIENT_008,TWAP,SELL,32326,31392,97.11,159.2233,158.5083,159.7195,44.91,-38020.66,True,HIGH SLIPPAGE
TRD-00062,2023-03-31,AAPL,CLIENT_016,TWAP,SELL,4342,3897,89.77,160.1203,160.0179,161.5956,6.39,-6148.28,False,
TRD-00063,2023-04-03,AAPL,CLIENT_006,POV,BUY,26086,17732,67.98,161.9242,162.2793,163.1958,21.93,16250.55,False,
TRD-00064,2023-04-04,AAPL,CLIENT_009,POV,SELL,28222,25013,88.63,164.2209,163.5119,163.4915,43.18,511.1,True,HIGH SLIPPAGE
TRD-00065,2023-04-05,AAPL,CLIENT_018,POV,BUY,12945,7798,60.24,162.3875,162.8101,161.2013,26.03,-12545.11,False,
TRD-00066,2023-04-06,AAPL,CLIENT_010,TWAP,BUY,38457,35096,91.26,160.1105,160.3008,161.5332,11.88,43252.0,False,
TRD-00067,2023-04-10,AAPL,CLIENT_018,VWAP,SELL,4246,3685,86.8,159.1149,158.8358,159.0755,17.54,-883.13,False,
TRD-00068,2023-04-11,AAPL,CLIENT_002,POV,BUY,4227,3931,93.0,160.0316,160.301,158.921,16.84,-5424.69,False,
TRD-00069,2023-04-12,AAPL,CLIENT_017,VWAP,BUY,4990,4629,92.78,158.9177,159.481,158.3526,35.45,-5223.55,False,
TRD-00070,2023-04-13,AAPL,CLIENT_020,VWAP,BUY,26961,24387,90.45,159.3219,160.0965,161.9143,48.62,44331.21,True,HIGH SLIPPAGE
TRD-00071,2023-04-14,AAPL,CLIENT_004,TWAP,BUY,41091,40859,99.44,162.2396,162.456,162.7587,13.34,12369.59,True,LARGE ORDER
TRD-00072,2023-04-17,AAPL,CLIENT_003,POV,SELL,17589,13614,77.4,162.7325,162.4763,162.5288,15.74,-714.32,False,
TRD-00073,2023-04-18,AAPL,CLIENT_007,IS,BUY,17907,12529,69.97,163.7281,163.7741,164.1322,2.81,4486.83,False,
TRD-00074,2023-04-19,AAPL,CLIENT_013,TWAP,SELL,30464,28679,94.14,163.4323,163.0134,164.7236,25.63,-49047.18,False,
TRD-00075,2023-04-20,AAPL,CLIENT_011,VWAP,BUY,30534,26189,85.77,163.7182,163.9581,164.3129,14.65,9291.95,False,
TRD-00076,2023-04-21,AAPL,CLIENT_020,VWAP,BUY,35734,35242,98.62,162.6931,162.9003,162.9592,12.74,2075.63,False,
TRD-00077,2023-04-24,AAPL,CLIENT_007,IS,BUY,23372,15208,65.07,162.6438,163.0501,162.5846,24.98,-7078.94,False,
TRD-00078,2023-04-25,AAPL,CLIENT_003,TWAP,SELL,19176,19134,99.78,162.8311,162.6217,162.2528,12.86,7059.23,False,
TRD-00079,2023-04-26,AAPL,CLIENT_006,POV,SELL,40586,33899,83.52,160.7315,160.1156,161.6055,38.32,-50505.56,True,LARGE ORDER
TRD-00080,2023-04-27,AAPL,CLIENT_017,VWAP,SELL,43975,38946,88.56,162.831,162.2337,164.9963,36.68,-107593.92,True,LARGE ORDER
TRD-00081,2023-04-28,AAPL,CLIENT_004,TWAP,SELL,8064,7299,90.52,166.0839,165.5527,166.7213,31.98,-8529.95,False,
TRD-00082,2023-05-01,AAPL,CLIENT_004,TWAP,SELL,18965,17922,94.5,166.8626,166.4079,167.1386,27.25,-13096.37,False,
TRD-00083,2023-05-02,AAPL,CLIENT_020,TWAP,SELL,13842,11953,86.35,167.6611,166.9581,166.3993,41.93,6678.83,True,HIGH SLIPPAGE
TRD-00084,2023-05-03,AAPL,CLIENT_009,POV,SELL,3829,2727,71.23,167.0795,166.9101,166.1036,10.14,2199.29,False,
TRD-00085,2023-05-04,AAPL,CLIENT_003,POV,SELL,3389,2081,61.43,162.5353,162.0484,163.3469,29.95,-2702.21,False,
TRD-00086,2023-05-05,AAPL,CLIENT_001,IS,BUY,42253,35371,83.71,168.5384,168.569,170.4079,1.81,65045.39,True,LARGE ORDER
TRD-00087,2023-05-08,AAPL,CLIENT_009,TWAP,SELL,36654,33971,92.68,170.0169,169.8112,170.6806,12.1,-29535.75,False,
TRD-00088,2023-05-09,AAPL,CLIENT_014,VWAP,BUY,5431,5141,94.68,170.5788,170.7416,169.8428,9.54,-4620.77,False,
TRD-00089,2023-05-10,AAPL,CLIENT_005,VWAP,SELL,38675,36882,95.36,170.5492,170.209,170.6905,19.95,-17759.59,False,
TRD-00090,2023-05-11,AAPL,CLIENT_018,TWAP,SELL,8852,8767,99.05,171.3674,171.2348,171.0257,7.74,1833.59,False,
TRD-00091,2023-05-12,AAPL,CLIENT_002,IS,SELL,3114,2240,71.94,171.3774,171.265,170.3146,6.56,2128.83,False,
TRD-00092,2023-05-15,AAPL,CLIENT_012,TWAP,BUY,44208,43708,98.87,170.9233,171.6752,170.0251,43.99,-72123.9,True,HIGH SLIPPAGE + LARGE ORDER
TRD-00093,2023-05-16,AAPL,CLIENT_004,IS,SELL,41175,28422,69.03,169.7684,169.2024,170.1106,33.34,-25813.29,True,LARGE ORDER
TRD-00094,2023-05-17,AAPL,CLIENT_005,TWAP,BUY,12103,11771,97.26,169.4921,169.9701,169.7915,28.2,-2102.71,False,
TRD-00095,2023-05-18,AAPL,CLIENT_014,VWAP,BUY,48771,45330,92.94,170.7654,170.9848,172.0388,12.85,47775.89,True,LARGE ORDER
TRD-00096,2023-05-19,AAPL,CLIENT_011,POV,BUY,17985,11377,63.26,174.1116,174.8945,173.2298,44.96,-18939.38,True,HIGH SLIPPAGE
TRD-00097,2023-05-22,AAPL,CLIENT_006,VWAP,SELL,3037,2991,98.51,171.7327,171.1828,171.8709,32.02,-2058.19,False,
TRD-00098,2023-05-23,AAPL,CLIENT_016,TWAP,BUY,30666,27625,90.09,170.8937,171.2032,169.8507,18.11,-37363.24,False,
TRD-00099,2023-05-24,AAPL,CLIENT_012,IS,BUY,15109,12904,85.41,168.88,169.6393,169.3769,44.96,-3386.41,True,HIGH SLIPPAGE
TRD-00100,2023-05-25,AAPL,CLIENT_001,TWAP,SELL,22012,21639,98.31,170.183,169.5156,170.6272,39.21,-24054.53,False,
TRD-00101,2023-05-26,AAPL,CLIENT_009,VWAP,SELL,23512,22249,94.63,171.0813,170.9937,172.5125,5.12,-33792.18,False,
TRD-00102,2023-05-30,AAPL,CLIENT_017,POV,SELL,2308,1515,65.66,174.6742,173.8877,175.3257,45.03,-2178.59,True,HIGH SLIPPAGE
TRD-00103,2023-05-31,AAPL,CLIENT_004,IS,BUY,38549,31311,81.23,175.0395,175.0649,175.4902,1.45,13317.5,False,
TRD-00104,2023-06-01,AAPL,CLIENT_009,VWAP,BUY,39596,34259,86.52,175.4047,175.9925,176.7339,33.51,25400.84,False,
TRD-00105,2023-06-02,AAPL,CLIENT_014,IS,SELL,29099,17510,60.18,178.6917,178.533,178.3297,8.88,3559.13,False,
TRD-00106,2023-06-05,AAPL,CLIENT_020,VWAP,SELL,38287,35695,93.23,180.271,179.6418,178.5206,34.9,40022.56,False,
TRD-00107,2023-06-06,AAPL,CLIENT_007,IS,BUY,46950,38883,82.82,177.6454,177.8584,176.6089,11.99,-48583.34,True,LARGE ORDER
TRD-00108,2023-06-07,AAPL,CLIENT_014,VWAP,BUY,24369,23316,95.68,176.1351,176.3575,176.474,12.63,2717.19,False,
TRD-00109,2023-06-08,AAPL,CLIENT_014,VWAP,SELL,41339,37155,89.88,175.6021,174.9422,177.3032,37.58,-87721.74,True,LARGE ORDER
TRD-00110,2023-06-09,AAPL,CLIENT_011,VWAP,SELL,33734,31961,94.74,179.1556,178.3922,178.9319,42.61,-17248.42,True,HIGH SLIPPAGE
TRD-00111,2023-06-12,AAPL,CLIENT_010,POV,SELL,26871,22307,83.02,178.9286,178.4124,180.5211,28.85,-47037.99,False,
TRD-00112,2023-06-13,AAPL,CLIENT_010,TWAP,BUY,28054,24240,86.41,180.4388,180.782,180.9324,19.02,3644.72,False,
TRD-00113,2023-06-14,AAPL,CLIENT_013,TWAP,SELL,27112,24123,88.98,181.0014,180.7669,181.0837,12.96,-7642.07,False,
TRD-00114,2023-06-15,AAPL,CLIENT_018,VWAP,SELL,19303,19224,99.6,181.5838,181.2159,183.0414,20.26,-35093.84,False,
TRD-00115,2023-06-16,AAPL,CLIENT_007,POV,SELL,30973,28254,91.22,184.318,183.7296,182.9986,31.93,20652.5,False,
TRD-00116,2023-06-20,AAPL,CLIENT_015,POV,BUY,34000,29858,87.82,182.028,182.4945,182.7815,25.63,8568.8,False,
TRD-00117,2023-06-21,AAPL,CLIENT_016,TWAP,BUY,19098,17885,93.65,182.5117,182.9704,181.6101,25.13,-24328.08,False,
TRD-00118,2023-06-22,AAPL,CLIENT_017,IS,BUY,49726,33233,66.83,181.3667,182.0269,183.5053,36.4,49132.94,True,LARGE ORDER
TRD-00119,2023-06-23,AAPL,CLIENT_008,IS,BUY,13550,9461,69.83,183.1533,183.1934,184.0088,2.19,7714.14,False,
TRD-00120,2023-06-26,AAPL,CLIENT_005,VWAP,BUY,16546,15666,94.68,184.4168,184.5953,183.7784,9.68,-12796.93,False,
TRD-00121,2023-06-27,AAPL,CLIENT_016,VWAP,SELL,27660,27412,99.11,183.4889,182.6129,184.953,47.74,-64148.13,True,HIGH SLIPPAGE
TRD-00122,2023-06-28,AAPL,CLIENT_019,TWAP,SELL,32899,32478,98.72,185.5026,185.1476,186.4765,19.14,-43159.49,False,
TRD-00123,2023-06-29,AAPL,CLIENT_013,TWAP,BUY,43495,37071,85.23,186.6377,187.5053,187.0852,46.49,-15575.24,True,HIGH SLIPPAGE + LARGE ORDER
TRD-00124,2023-06-30,AAPL,CLIENT_001,VWAP,SELL,14841,13568,91.42,189.1548,188.2399,190.7407,48.37,-33930.49,True,HIGH SLIPPAGE
